,BBC . . . . . Date,Compound,Negative,Neutral,Positive,Tweets Ago
74,Fri Mar 02 19:00:09 +0000 2018,0.4588,0.833,0.0,0.167,75
75,Fri Mar 02 18:00:11 +0000 2018,0.0,1.0,0.0,0.0,76
76,Fri Mar 02 17:30:03 +0000 2018,0.0,1.0,0.0,0.0,77
77,Fri Mar 02 15:43:22 +0000 2018,0.9184,0.546,0.0,0.454,78
78,Fri Mar 02 15:03:04 +0000 2018,0.0,1.0,0.0,0.0,79
79,Fri Mar 02 14:30:11 +0000 2018,0.7684,0.647,0.0,0.353,80
80,Fri Mar 02 14:03:04 +0000 2018,0.0,1.0,0.0,0.0,81
81,Fri Mar 02 13:00:04 +0000 2018,-0.5095,0.785,0.215,0.0,82
82,Fri Mar 02 12:00:05 +0000 2018,-0.5574,0.714,0.286,0.0,83
83,Fri Mar 02 10:53:03 +0000 2018,0.6908,0.737,0.0,0.263,84
84,Fri Mar 02 10:09:18 +0000 2018,0.0,1.0,0.0,0.0,85
85,Fri Mar 02 10:09:01 +0000 2018,0.0,1.0,0.0,0.0,86
86,Fri Mar 02 10:08:18 +0000 2018,0.0,1.0,0.0,0.0,87
87,Fri Mar 02 10:07:52 +0000 2018,0.0,1.0,0.0,0.0,88
88,Fri Mar 02 10:06:53 +0000 2018,0.0,1.0,0.0,0.0,89
89,Fri Mar 02 10:05:43 +0000 2018,0.69,0.769,0.0,0.231,90
90,Fri Mar 02 10:02:04 +0000 2018,0.0,1.0,0.0,0.0,91
91,Fri Mar 02 09:00:07 +0000 2018,0.0,1.0,0.0,0.0,92
92,Fri Mar 02 08:30:16 +0000 2018,0.0,1.0,0.0,0.0,93
93,Fri Mar 02 08:00:06 +0000 2018,0.0,1.0,0.0,0.0,94
94,Thu Mar 01 21:43:00 +0000 2018,0.802,0.714,0.0,0.286,95
95,Thu Mar 01 21:38:00 +0000 2018,-0.3818,0.874,0.126,0.0,96
96,Thu Mar 01 21:24:36 +0000 2018,0.0,1.0,0.0,0.0,97
97,Thu Mar 01 21:10:00 +0000 2018,0.7712,0.511,0.0,0.489,98
98,Thu Mar 01 21:09:31 +0000 2018,0.9081,0.617,0.0,0.383,99
99,Thu Mar 01 21:08:00 +0000 2018,0.5859,0.769,0.0,0.231,100
